Business Dailies	Alabama Business Daily	1633	67168	2020-07-20	2
Business Dailies	Alaska Business Daily	1634	67169	2020-07-20	2
MM - Maryland	Anne Arundel Today	1684	346305	2020-07-20	1
Business Dailies	Arizona Business Daily	1147	67170	2020-07-20	2
Metro Business Network	Arkansas Business Daily	1673	67171	2019-09-19	1
MM - Georgia	ATL Standard	2318	346296	2020-07-20	1
MM - Louisiana	Baton Rouge Reporter	2588	346303	2020-07-20	1
MM - Massachusetts	Bean Town Times	2769	346306	2020-07-20	1
MM - Idaho	Boise City Wire	2676	346298	2020-07-20	1
Business Dailies	California Business Daily	1635	67172	2020-07-20	2
MM - New York	Capital District Times	2803	346317	2020-07-20	1
MM - Michigan	Capitol News	1904	346307	2020-07-20	1
MM - North Dakota	Central ND News	2437	346319	2020-07-20	1
MM - South Dakota	Central South Dakota News	2449	346325	2020-07-20	1
MM - West Virginia	Charleston Leader	2643	346331	2020-07-20	1
Metro Business Network	Colorado Business Daily	1636	67173	2019-09-19	1
MM - South Carolina	Columbia Standard	2789	346324	2020-07-20	1
MM - New Hampshire	Concord Ledger	2346	346314	2020-07-20	1
Metro Business Network	Connecticut Business Daily	1637	67174	2019-09-19	1
MM - Pennsylvania	Dauphin News	2096	346322	2020-07-20	1
Metro Business Network	Delaware Business Daily	1638	67175	2019-09-19	1
MM - Colorado	Denver City Wire	2455	346292	2020-07-20	1
MM - Iowa	Des Moines Sun	2052	346300	2020-07-20	1
MM - Nevada	Eagle Valley Times	2299	346313	2020-07-20	1
Business Dailies	Florida Business Daily	1149	67177	2020-07-20	2
Metro Business Network	Georgia Business Daily	1639	67178	2019-09-19	1
MM - Connecticut	Hartford Reporter	2580	346293	2020-07-20	1
Metro Business Network	Hawaii Business Daily	1640	67179	2019-09-19	1
MM - Mississippi	Hinds Today	2611	346309	2020-07-20	1
MM - Hawaii	Honolulu Reporter	2583	346297	2020-07-20	1
Metro Business Network	Idaho Business Daily	1641	67180	2019-09-19	1
Metro Business Network	Illinois Business Daily	1148	67181	2019-09-19	1
Business Dailies	Indiana Business Daily	1642	67182	2020-07-20	2
MM - Indiana	Indy Standard	2493	346299	2020-07-20	1
Metro Business Network	Iowa Business Daily	1405	67183	2019-09-19	1
MM - Missouri	Jefferson City News	2126	346310	2020-07-20	1
Metro Business Network	Kansas Business Daily	1643	67184	2019-09-19	1
MM - Delaware	Kent County Today	1958	346294	2020-07-20	1
Metro Business Network	Kentucky Business Daily	1644	67185	2019-09-19	1
Metro Business Network	Keystone Business News	655	67206	2019-09-19	1
MM - Tennessee	Knox Times	2520	346326	2020-07-20	1
MM - Michigan	Lansing Sun	1926	346308	2020-07-20	1
Metro Business Network	Louisiana Business Daily	1645	67186	2019-09-19	1
MM - Wisconsin	Madison Reporter	1872	346332	2020-07-20	1
Metro Business Network	Maine Business Daily	1646	67187	2019-09-19	1
Metro Business Network	Maryland Business Daily	1647	67188	2019-09-19	1
Metro Business Network	Massachusetts Business Daily	1648	67189	2019-09-19	1
MM - New Jersey	Mercer Times	2511	346315	2020-07-20	1
Metro Business Network	Michigan Business Daily	1657	67190	2019-09-19	1
MM - Oregon	Mid Valley Reporter	2673	346321	2020-07-20	1
Metro Business Network	Minnesota Business Daily	1649	67191	2019-09-19	1
Metro Business Network	Mississippi Business Daily	1674	67192	2019-09-19	1
Metro Business Network	Missouri Business Daily	1651	67193	2019-09-19	1
Metro Business Network	Montana Business Daily	1652	67194	2019-09-19	1
MM - Vermont	NC Vermont News	2338	346328	2020-07-20	1
Metro Business Network	Nebraska Business Daily	1653	67195	2019-09-19	1
Metro Business Network	Nevada Business Daily	1654	67196	2019-09-19	1
Metro Business Network	New Hampshire Business Daily	1655	67197	2019-09-19	1
Metro Business Network	New Jersey Business Daily	1656	67198	2019-09-19	1
Metro Business Network	New Mexico Business Daily	1658	67199	2019-09-19	1
Business Dailies	New York Business Daily	1659	67200	2020-07-20	2
MM - Kentucky	North Bluegrass News	2429	346302	2020-07-20	1
Business Dailies	North Carolina Business Daily	1660	67201	2020-07-20	2
Metro Business Network	North Dakota Business Daily	1599	67202	2019-09-19	1
MM - New York	NYC Gazette	2813	346318	2020-07-20	1
Business Dailies	Ohio Business Daily	1632	67203	2020-07-20	2
MM - Oklahoma	OKC Standard	2772	346320	2020-07-20	1
Business Dailies	Oklahoma Business Daily	1661	67204	2020-07-20	2
Metro Business Network	Oregon Business Daily	1662	67205	2019-09-19	1
Metro Business Network	Palmetto Business Daily	1120	67208	2019-09-19	1
MM - Arizona	PHX Reporter	1937	346289	2020-07-20	1
MM - Rhode Island	Providence Reporter	2448	346323	2020-07-20	1
MM - Arkansas	Pulaski Times	2568	346290	2020-07-20	1
Business Dailies	Rhode Island Business Daily	1663	67207	2020-07-20	2
MM - Alabama	River Region Times	2553	346287	2020-07-20	1
MM - Maine	River Valley Today	2380	346304	2020-07-20	1
MM - California	Sacramento Standard	2746	346291	2020-07-20	1
MM - New Mexico	Santa Fe Standard	2635	346316	2020-07-20	1
MM - Virginia	SC Virginia News	2377	346329	2020-07-20	1
MM - Alaska	SE Alaska News	2398	346288	2020-07-20	1
MM - Nebraska	SE Nebraska News	2628	346312	2020-07-20	1
MM - Wyoming	SE Wyoming News	2392	346333	2020-07-20	1
MM - Utah	SLC Times	2661	346327	2020-07-20	1
Metro Business Network	South Dakota Business Daily	1600	67209	2019-09-19	1
MM - Washington	South Sound Times	1968	346330	2020-07-20	1
MM - Montana	Southwest Montana News	2122	346311	2020-07-20	1
MM - Florida	Tallahassee Sun	2018	346295	2020-07-20	1
Metro Business Network	Tennessee Business Daily	1675	67210	2019-09-19	1
Metro Business Network	Texas Business Daily	1287	67211	2019-09-19	1
MM - Kansas	Topeka Sun	2404	346301	2020-07-20	1
Business Dailies	Utah Business Daily	1666	67212	2020-07-20	2
Metro Business Network	Vermont Business Daily	1667	67213	2019-09-19	1
Metro Business Network	Virginia Business Daily	1668	67214	2019-09-19	1
Metro Business Network	Washington Business Daily	1669	67215	2019-09-19	1
Metro Business Network	Washington D.C. Business Daily	1670	67176	2019-09-19	1
Business Dailies	West Virginia Business Daily	1816	67216	2020-07-20	2
Business Dailies	Wisconsin Business Daily	1671	67217	2020-07-20	2
Metro Business Network	Wyoming Business Daily	1672	67218	2019-09-19	1
