Metro Business Network	Alabama Business Daily	1633	247450	2020-04-11	55
MM - Michigan	Ann Arbor Times	1889	247486	2020-02-24	8
Metro Business Network	Arizona Business Daily	1147	247461	2020-02-25	9
Metro Business Network	Arkansas Business Daily	1673	247437	2020-04-17	62
MM - Michigan	Battle Creek Times	1890	247476	2020-02-21	5
Metro Business Network	California Business Daily	1635	247444	2020-03-26	39
MM - Michigan	Capitol News	1904	247480	2020-02-27	11
Metro Business Network	Colorado Business Daily	1636	247455	2020-03-25	38
Metro Business Network	Connecticut Business Daily	1637	247438	2020-02-27	11
Metro Business Network	Delaware Business Daily	1638	247431	2020-02-22	6
MM - Michigan	Detroit City Wire	1891	247487	2020-02-20	4
MM - Michigan	East Michigan News	1896	247477	2020-02-23	7
MM - Michigan	Eastern Wayne Today	1895	247488	2020-02-20	4
Metro Business Network	Florida Business Daily	1149	247448	2020-04-17	79
MM - Michigan	Genesee News	1897	247485	2020-02-20	4
Metro Business Network	Georgia Business Daily	1639	247435	2020-04-17	94
Metro Business Network	Hawaii Business Daily	1640	247466	2020-02-17	1
MM - Michigan	Holland Reporter	1898	247472	2020-03-02	15
Metro Business Network	Idaho Business Daily	1641	247443	2020-03-04	17
Metro Business Network	Illinois Business Daily	1148	247421	2020-04-17	133
Metro Business Network	Indiana Business Daily	1642	247432	2020-04-17	110
Metro Business Network	Iowa Business Daily	1405	247434	2020-04-17	103
MM - Michigan	Kalamazoo Times	1899	247483	2020-02-25	9
Metro Business Network	Kansas Business Daily	1643	247445	2020-04-17	65
Metro Business Network	Kentucky Business Daily	1644	247436	2020-04-17	85
Metro Business Network	Keystone Business News	655	247441	2020-04-17	61
MM - Michigan	Lansing Sun	1926	247481	2020-02-27	11
MM - Michigan	Livingston Today	1905	247473	2020-02-22	6
Metro Business Network	Maine Business Daily	1646	247463	2020-03-02	15
Metro Business Network	Maryland Business Daily	1647	247428	2020-03-02	15
Metro Business Network	Massachusetts Business Daily	1648	247429	2020-03-03	16
Metro Business Network	Michigan Business Daily	1657	247418	2020-04-17	179
Metro Business Network	Minnesota Business Daily	1649	247439	2020-04-11	55
Metro Business Network	Mississippi Business Daily	1674	247433	2020-04-09	53
Metro Business Network	Missouri Business Daily	1651	247427	2020-04-17	98
MM - Michigan	Monroe Review	1906	247484	2020-02-19	3
Metro Business Network	Montana Business Daily	1652	247454	2020-03-03	16
MM - Michigan	Muskegon Sun	1907	247482	2020-02-22	6
Metro Business Network	Nebraska Business Daily	1653	247457	2020-04-12	56
Metro Business Network	Nevada Business Daily	1654	247464	2020-02-24	8
Metro Business Network	New Hampshire Business Daily	1655	247423	2020-02-22	6
Metro Business Network	New Jersey Business Daily	1656	247451	2020-03-10	23
Metro Business Network	New Mexico Business Daily	1658	247459	2020-02-20	4
Metro Business Network	New York Business Daily	1659	247442	2020-04-17	74
Metro Business Network	North Carolina Business Daily	1660	247426	2020-04-16	60
Metro Business Network	North Dakota Business Daily	1599	247447	2020-03-05	18
MM - Michigan	North Michigan News	1909	247470	2020-04-01	45
Metro Business Network	Ohio Business Daily	1632	247422	2020-04-17	121
Metro Business Network	Oklahoma Business Daily	1661	247449	2020-03-11	24
Metro Business Network	Oregon Business Daily	1662	247460	2020-03-18	31
Metro Business Network	Palmetto Business Daily	1120	247420	2020-03-20	33
Metro Business Network	Rhode Island Business Daily	1663	247465	2020-02-21	5
MM - Michigan	SE Grand Rapids News	1903	247469	2020-02-22	6
MM - Michigan	Shiawassee Times	1914	247471	2020-02-24	8
Metro Business Network	South Dakota Business Daily	1600	247452	2020-03-14	27
MM - Michigan	South Michigan News	1915	247478	2020-03-03	16
MM - Michigan	St. Joe-Benton Harbor News	1908	247467	2020-03-01	14
MM - Michigan	Sturgis-Coldwater News	1920	247468	2020-02-20	4
Metro Business Network	Tennessee Business Daily	1675	247430	2020-04-17	88
Metro Business Network	Texas Business Daily	1287	247440	2020-04-17	119
MM - Michigan	Thumb Reporter	1921	247474	2020-02-26	10
MM - Michigan	Tri-City Sun	1922	247479	2020-02-28	12
MM - Michigan	UP Gazette	1923	247419	2020-03-12	25
Metro Business Network	Utah Business Daily	1666	247453	2020-03-07	20
Metro Business Network	Vermont Business Daily	1667	247456	2020-02-27	11
Metro Business Network	Virginia Business Daily	1668	247424	2020-03-31	44
Metro Business Network	Washington Business Daily	1669	247458	2020-03-12	25
MM - Michigan	West Central Michigan News	1924	247475	2020-03-13	26
Metro Business Network	West Virginia Business Daily	1816	247462	2020-03-30	43
Metro Business Network	Wisconsin Business Daily	1671	247425	2020-04-17	66
Metro Business Network	Wyoming Business Daily	1672	247446	2020-02-23	7
