Metro Business Network	Alabama Business Daily	1633	246030	2020-04-15	65
MM - Michigan	Ann Arbor Times	1889	246043	2020-03-02	17
Metro Business Network	Arizona Business Daily	1147	246034	2020-02-23	9
Metro Business Network	Arkansas Business Daily	1673	246024	2020-04-15	74
MM - Michigan	Battle Creek Times	1890	246054	2020-02-22	8
Metro Business Network	California Business Daily	1635	246023	2020-03-26	41
MM - Michigan	Capitol News	1904	246059	2020-03-01	16
Metro Business Network	Colorado Business Daily	1636	246011	2020-03-30	45
Metro Business Network	Connecticut Business Daily	1637	246037	2020-03-04	19
Metro Business Network	Delaware Business Daily	1638	246036	2020-02-27	13
MM - Michigan	Detroit City Wire	1891	246042	2020-02-26	12
MM - Michigan	East Michigan News	1896	246056	2020-02-23	9
MM - Michigan	Eastern Wayne Today	1895	246044	2020-02-26	12
Metro Business Network	Florida Business Daily	1149	246021	2020-04-15	101
MM - Michigan	Genesee News	1897	246061	2020-02-23	9
Metro Business Network	Georgia Business Daily	1639	246016	2020-04-15	122
Metro Business Network	Hawaii Business Daily	1640	246039	2020-02-15	1
MM - Michigan	Holland Reporter	1898	246046	2020-03-05	20
Metro Business Network	Idaho Business Daily	1641	246028	2020-03-05	20
Metro Business Network	Illinois Business Daily	1148	245994	2020-04-15	176
Metro Business Network	Indiana Business Daily	1642	246015	2020-04-15	144
Metro Business Network	Iowa Business Daily	1405	246000	2020-04-15	129
MM - Michigan	Kalamazoo Times	1899	246055	2020-03-04	19
Metro Business Network	Kansas Business Daily	1643	246001	2020-04-15	78
Metro Business Network	Kentucky Business Daily	1644	246017	2020-04-15	110
Metro Business Network	Keystone Business News	655	245997	2020-04-15	83
MM - Michigan	Lansing Sun	1926	246060	2020-03-01	16
MM - Michigan	Livingston Today	1905	246052	2020-02-23	9
Metro Business Network	Maine Business Daily	1646	245996	2020-03-05	20
Metro Business Network	Maryland Business Daily	1647	246005	2020-03-08	23
Metro Business Network	Massachusetts Business Daily	1648	246003	2020-03-03	18
Metro Business Network	Michigan Business Daily	1657	246009	2020-04-15	301
Metro Business Network	Minnesota Business Daily	1649	246026	2020-04-15	64
Metro Business Network	Mississippi Business Daily	1674	246013	2020-04-15	69
Metro Business Network	Missouri Business Daily	1651	246014	2020-04-15	123
MM - Michigan	Monroe Review	1906	246053	2020-02-20	6
Metro Business Network	Montana Business Daily	1652	245993	2020-02-29	15
MM - Michigan	Muskegon Sun	1907	246040	2020-02-23	9
Metro Business Network	Nebraska Business Daily	1653	246006	2020-04-15	73
Metro Business Network	Nevada Business Daily	1654	246038	2020-02-24	10
Metro Business Network	New Hampshire Business Daily	1655	246033	2020-02-19	5
Metro Business Network	New Jersey Business Daily	1656	246027	2020-03-07	22
Metro Business Network	New Mexico Business Daily	1658	246029	2020-02-18	4
Metro Business Network	New York Business Daily	1659	246010	2020-04-15	103
Metro Business Network	North Carolina Business Daily	1660	245999	2020-04-15	80
Metro Business Network	North Dakota Business Daily	1599	246032	2020-03-07	22
MM - Michigan	North Michigan News	1909	245992	2020-04-15	73
Metro Business Network	Ohio Business Daily	1632	245995	2020-04-15	162
Metro Business Network	Oklahoma Business Daily	1661	246025	2020-03-17	32
Metro Business Network	Oregon Business Daily	1662	246018	2020-03-23	38
Metro Business Network	Palmetto Business Daily	1120	246008	2020-03-27	42
Metro Business Network	Rhode Island Business Daily	1663	246019	2020-02-27	13
MM - Michigan	SE Grand Rapids News	1903	246058	2020-02-24	10
MM - Michigan	Shiawassee Times	1914	246048	2020-02-28	14
Metro Business Network	South Dakota Business Daily	1600	246022	2020-03-20	35
MM - Michigan	South Michigan News	1915	246041	2020-03-13	28
MM - Michigan	St. Joe-Benton Harbor News	1908	246045	2020-03-09	24
MM - Michigan	Sturgis-Coldwater News	1920	246057	2020-02-23	9
Metro Business Network	Tennessee Business Daily	1675	245998	2020-04-15	106
Metro Business Network	Texas Business Daily	1287	246004	2020-04-15	142
MM - Michigan	Thumb Reporter	1921	246047	2020-03-02	17
MM - Michigan	Tri-City Sun	1922	246050	2020-03-04	19
MM - Michigan	UP Gazette	1923	246051	2020-03-19	34
Metro Business Network	Utah Business Daily	1666	246012	2020-03-15	30
Metro Business Network	Vermont Business Daily	1667	246020	2020-02-28	14
Metro Business Network	Virginia Business Daily	1668	246007	2020-04-08	54
Metro Business Network	Washington Business Daily	1669	246031	2020-03-13	28
MM - Michigan	West Central Michigan News	1924	246049	2020-03-23	38
Metro Business Network	West Virginia Business Daily	1816	246002	2020-04-12	58
Metro Business Network	Wisconsin Business Daily	1671	245991	2020-04-15	84
Metro Business Network	Wyoming Business Daily	1672	246035	2020-02-19	5
