Alabama Business Daily	59
Alaska Business Daily	10
Arizona Business Daily	35
Arkansas Business Daily	30
California Business Daily	130
Colorado Business Daily	35
Connecticut Business Daily	30
Delaware Business Daily	10
Florida Business Daily	109
Georgia Business Daily	69
Hawaii Business Daily	10
Idaho Business Daily	30
Illinois Business Daily	55
Indiana Business Daily	60
Iowa Business Daily	34
Kansas Business Daily	20
Kentucky Business Daily	25
Keystone Business News	88
Louisiana Business Daily	45
Maine Business Daily	15
Maryland Business Daily	20
Massachusetts Business Daily	35
Michigan Business Daily	70
Minnesota Business Daily	25
Mississippi Business Daily	15
Missouri Business Daily	40
Montana Business Daily	15
Nebraska Business Daily	15
Nevada Business Daily	15
New Hampshire Business Daily	15
New Jersey Business Daily	20
New Mexico Business Daily	20
New York Business Daily	58
North Carolina Business Daily	75
North Dakota Business Daily	14
Ohio Business Daily	60
Oklahoma Business Daily	20
Oregon Business Daily	40
Palmetto Business Daily	40
Rhode Island Business Daily	5
South Dakota Business Daily	10
Tennessee Business Daily	50
Texas Business Daily	125
Utah Business Daily	25
Vermont Business Daily	5
Virginia Business Daily	45
Washington Business Daily	55
Washington D.C. Business Daily	5
West Virginia Business Daily	29
Wisconsin Business Daily	60
Wyoming Business Daily	10
